indicator,country,countryiso3code,date,value,unit,obs_status,decimal,pais,indicador
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'MEX', 'value': 'Mexico'}",,2000,36.9689254760742,,,0.0,MX,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2014,18.1118392944336,,,0.0,BR,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2012,20.8175640106201,,,0.0,BR,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2011,23.8348999023438,,,0.0,BR,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2009,26.8724918365479,,,0.0,BR,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2008,28.6359272003174,,,0.0,BR,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2007,31.6345920562744,,,0.0,BR,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2006,34.0415267944336,,,0.0,BR,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2005,38.0290603637695,,,0.0,BR,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2004,40.6284141540527,,,0.0,BR,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2003,42.5660209655762,,,0.0,BR,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2002,41.7347526550293,,,0.0,BR,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Poor4uds', 'value': 'Poverty Headcount ($4 a day)'}","{'id': 'BRA', 'value': 'Brazil'}",,2001,42.6504859924316,,,0.0,BR,1.0.HCount.Poor4uds
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2014,45.7031860351563,,,0.0,MX,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2012,43.0746536254883,,,0.0,MX,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2010,44.3299331665039,,,0.0,MX,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2008,41.3764038085938,,,0.0,MX,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2006,43.0507431030273,,,0.0,MX,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2005,41.6537780761719,,,0.0,MX,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2004,41.8161087036133,,,0.0,MX,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2002,41.1073112487793,,,0.0,MX,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'MEX', 'value': 'Mexico'}",,2000,38.7530517578125,,,0.0,MX,1.0.HCount.Vul4to10
"{'id': '1.0.HCount.Vul4to10', 'value': 'Vulnerable ($4-10 a day) Headcount'}","{'id': 'BRA', 'value': 'Brazil'}",,2014,35.2287750244141,,,0.0,BR,1.0.HCount.Vul4to10
